animal_id,animal_subid,animal_area_pkid,animal_shelter_pkid,animal_place,animal_kind,animal_Variety,animal_sex,animal_bodytype,animal_colour,animal_age,animal_sterilization,animal_bacterin,animal_foundplace,animal_title,animal_status,animal_remark,animal_caption,animal_opendate,animal_closeddate,animal_update,animal_createtime,shelter_name,album_file,album_update,cDate,shelter_address,shelter_tel
432448,S141126-U,16,74,臺南市動物之家善化站,狗,混種犬          ,F,SMALL,黑色,CHILD,N,F,,,OPEN,,,2025-11-27,2999-12-31,2025-11-26,2025-11-26,臺南市動物之家善化站,,,2025-11-26,臺南市善化區昌隆里東勢寮1~19號,(06)5832399
432447,S141126-T,16,74,臺南市動物之家善化站,狗,混種犬          ,F,SMALL,黑色,CHILD,N,F,,,OPEN,,,2025-11-27,2999-12-31,2025-11-26,2025-11-26,臺南市動物之家善化站,,,2025-11-26,臺南市善化區昌隆里東勢寮1~19號,(06)5832399
432444,AAADG1141126001,3,50,新北市板橋區公立動物之家,貓,混種貓                 ,F,SMALL,虎斑色,CHILD,F,F,樹林區光興街81巷24號,,OPEN,可摸摸.乖乖的,,2025-11-26,2999-12-31,2025-11-26,2025-11-26,新北市板橋區公立動物之家,https://www.pet.gov.tw/upload/pic/1764141020812.png,,2025-11-26,新北市板橋區板城路28-1號,(02)89662158
432446,S141126-S,16,74,臺南市動物之家善化站,狗,混種犬          ,M,SMALL,黑色,CHILD,N,F,,,OPEN,,,2025-11-27,2999-12-31,2025-11-26,2025-11-26,臺南市動物之家善化站,,,2025-11-26,臺南市善化區昌隆里東勢寮1~19號,(06)5832399
432445,S141126-R,16,74,臺南市動物之家善化站,狗,混種犬          ,F,SMALL,黑棕色,CHILD,N,F,,,OPEN,,,2025-11-27,2999-12-31,2025-11-26,2025-11-26,臺南市動物之家善化站,,,2025-11-26,臺南市善化區昌隆里東勢寮1~19號,(06)5832399
432443,S141126-Q,16,74,臺南市動物之家善化站,狗,混種犬          ,M,SMALL,黑黃色,CHILD,N,F,,,OPEN,,,2025-11-27,2999-12-31,2025-11-26,2025-11-26,臺南市動物之家善化站,,,2025-11-26,臺南市善化區昌隆里東勢寮1~19號,(06)5832399
432442,S141126-P,16,74,臺南市動物之家善化站,狗,混種犬          ,M,SMALL,白色,CHILD,N,F,,,OPEN,,,2025-11-27,2999-12-31,2025-11-26,2025-11-26,臺南市動物之家善化站,,,2025-11-26,臺南市善化區昌隆里東勢寮1~19號,(06)5832399
432441,S141126-O,16,74,臺南市動物之家善化站,狗,混種犬          ,M,SMALL,黑色,CHILD,N,F,,,OPEN,,,2025-11-27,2999-12-31,2025-11-26,2025-11-26,臺南市動物之家善化站,,,2025-11-26,臺南市善化區昌隆里東勢寮1~19號,(06)5832399
432440,S141126-N,16,74,臺南市動物之家善化站,狗,混種犬          ,M,SMALL,黑色,CHILD,N,F,,,OPEN,,,2025-11-27,2999-12-31,2025-11-26,2025-11-26,臺南市動物之家善化站,,,2025-11-26,臺南市善化區昌隆里東勢寮1~19號,(06)5832399
432439,S141126-M,16,74,臺南市動物之家善化站,狗,混種犬          ,F,SMALL,黑色,CHILD,N,F,,,OPEN,,,2025-11-27,2999-12-31,2025-11-26,2025-11-26,臺南市動物之家善化站,,,2025-11-26,臺南市善化區昌隆里東勢寮1~19號,(06)5832399
432438,LAAAG1140811A1,17,75,高雄市壽山動物保護教育園區,狗,混種犬          ,M,BIG,白色,ADULT,F,F,美山路,,OPEN,協尋飼主  暫不開放,,,2999-12-31,2025-11-26,2025-11-01,高雄市壽山動物保護教育園區,https://www.pet.gov.tw/upload/pic/1764140650077.png,,2025-11-26,高雄市鼓山區萬壽路350號,(07)5519059
431930,HAAAG1141121C1,12,70,南投縣公立動物收容所,貓,混種貓                 ,M,SMALL,虎斑色,ADULT,T,F,望和巷,,OPEN,,,2025-11-24,2999-12-31,2025-11-26,2025-11-21,南投縣公立動物收容所,https://www.pet.gov.tw/upload/pic/1763773839244.png,,2025-11-26,南投縣南投市嶺興路36-1號,(049)2225440
432437,S141126-L,16,74,臺南市動物之家善化站,狗,混種犬          ,F,SMALL,黑色,CHILD,N,F,,,OPEN,,,2025-11-27,2999-12-31,2025-11-26,2025-11-26,臺南市動物之家善化站,,,2025-11-26,臺南市善化區昌隆里東勢寮1~19號,(06)5832399
